,Truck Type,State,Fuel Type,Cost
229,four_six_axle_multi,Karnataka,Electric,7.0
230,four_six_axle_multi,Karnataka,Petrol,102.7
231,four_six_axle_multi,Telangana,Diesel,97.7
232,four_six_axle_multi,Telangana,Electric,5.5
233,four_six_axle_multi,Telangana,Petrol,108.84
234,four_six_axle_multi,MadhyaPradesh,Diesel,94.56
235,four_six_axle_multi,MadhyaPradesh,Electric,6.25
236,four_six_axle_multi,MadhyaPradesh,Petrol,109.36
237,four_six_axle_multi,Maharastra,Diesel,93.45
238,four_six_axle_multi,Maharastra,Electric,7.5
239,four_six_axle_multi,Maharastra,Petrol,106.87
240,four_six_axle_multi,Mizoram,Diesel,82.18
241,four_six_axle_multi,Mizoram,Electric,5.25
242,four_six_axle_multi,Mizoram,Petrol,95.73
243,four_six_axle_multi,Odisha,Diesel,95.15
244,four_six_axle_multi,Odisha,Electric,6.25
245,four_six_axle_multi,Odisha,Petrol,103.59
246,four_six_axle_multi,Punjab,Diesel,87.79
247,four_six_axle_multi,Punjab,Electric,5.75
248,four_six_axle_multi,Punjab,Petrol,97.44
249,four_six_axle_multi,Rajasthan,Diesel,94.55
250,four_six_axle_multi,Rajasthan,Electric,6.5
251,four_six_axle_multi,Rajasthan,Petrol,109.4
252,four_six_axle_multi,TamilNadu,Diesel,95.17
253,four_six_axle_multi,TamilNadu,Electric,5.75
254,four_six_axle_multi,TamilNadu,Petrol,103.56
255,four_six_axle_multi,UttarPradesh,Diesel,90.13
256,four_six_axle_multi,UttarPradesh,Electric,6.5
257,four_six_axle_multi,UttarPradesh,Petrol,96.99
258,four_six_axle_multi,Uttarakhand,Diesel,89.94
259,four_six_axle_multi,Uttarakhand,Electric,5.5
260,four_six_axle_multi,Uttarakhand,Petrol,94.86
261,four_six_axle_multi,WestBengal,Diesel,92.75
262,four_six_axle_multi,WestBengal,Electric,7.0
263,four_six_axle_multi,WestBengal,Petrol,106.01
264,four_six_axle_single,AndraPradesh,Diesel,99.11
265,four_six_axle_single,AndraPradesh,Electric,6.5
266,four_six_axle_single,AndraPradesh,Petrol,111.22
267,four_six_axle_single,Manipur,Diesel,89.06
268,four_six_axle_single,Manipur,Electric,6.0
269,four_six_axle_single,Manipur,Petrol,97.54
270,four_six_axle_single,Bihar,Diesel,94.67
271,four_six_axle_single,Bihar,Electric,6.75
272,four_six_axle_single,Bihar,Petrol,107.94
273,four_six_axle_single,Chandigarh,Diesel,84.26
274,four_six_axle_single,Chandigarh,Electric,5.5
275,four_six_axle_single,Chandigarh,Petrol,96.2
276,four_six_axle_single,Chhattisgarh,Diesel,95.59
277,four_six_axle_single,Chhattisgarh,Electric,5.5
278,four_six_axle_single,Chhattisgarh,Petrol,102.6
279,four_six_axle_single,Chattisgarh,Diesel,92.7
280,four_six_axle_single,Chattisgarh,Electric,6.0
281,four_six_axle_single,Chattisgarh,Petrol,96.94
282,four_six_axle_single,Haryana,Diesel,90.05
283,four_six_axle_single,Haryana,Electric,6.25
284,four_six_axle_single,Haryana,Petrol,97.2
285,four_six_axle_single,HimachalPradesh,Diesel,86.3
286,four_six_axle_single,HimachalPradesh,Electric,4.75
287,four_six_axle_single,HimachalPradesh,Petrol,97.24
288,four_six_axle_single,Jammu&Kashmir,Diesel,85.43
289,four_six_axle_single,Jammu&Kashmir,Electric,7.75
290,four_six_axle_single,Jammu&Kashmir,Petrol,100.13
291,four_six_axle_single,Jharkhand,Diesel,94.73
292,four_six_axle_single,Jharkhand,Electric,6.5
293,four_six_axle_single,Jharkhand,Petrol,99.92
294,four_six_axle_single,Karnataka,Diesel,89.03
295,four_six_axle_single,Karnataka,Electric,7.0
296,four_six_axle_single,Karnataka,Petrol,102.7
297,four_six_axle_single,Telangana,Diesel,97.7
298,four_six_axle_single,Telangana,Electric,5.5
299,four_six_axle_single,Telangana,Petrol,108.84
300,four_six_axle_single,MadhyaPradesh,Diesel,94.56
301,four_six_axle_single,MadhyaPradesh,Electric,6.25
302,four_six_axle_single,MadhyaPradesh,Petrol,109.36
303,four_six_axle_single,Maharastra,Diesel,93.45
304,four_six_axle_single,Maharastra,Electric,7.5
305,four_six_axle_single,Maharastra,Petrol,106.87
306,four_six_axle_single,Mizoram,Diesel,82.18
307,four_six_axle_single,Mizoram,Electric,5.25
308,four_six_axle_single,Mizoram,Petrol,95.73
309,four_six_axle_single,Odisha,Diesel,95.15
310,four_six_axle_single,Odisha,Electric,6.25
311,four_six_axle_single,Odisha,Petrol,103.59
312,four_six_axle_single,Punjab,Diesel,87.79
313,four_six_axle_single,Punjab,Electric,5.75
314,four_six_axle_single,Punjab,Petrol,97.44
315,four_six_axle_single,Rajasthan,Diesel,94.55
316,four_six_axle_single,Rajasthan,Electric,6.5
317,four_six_axle_single,Rajasthan,Petrol,109.4
